ukprn,provider_name,provider_type,provider_group,inspection_number,inspection_type,inspection_date,inspection_length_in_days
10009064,Bodywork Company Performing Arts Cambridge,Dance and drama college,Dance and drama colleges,10004842,Full Inspection,2016.01.13,1
10003959,Liverpool Theatre School & College Limited,Dance and drama college,Dance and drama colleges,10078030,Full Inspection,2019.02.26,1
10003746,Laine Theatre Arts Limited,Dance and drama college,Dance and drama colleges,10004844,Full Inspection,2016.01.27,1
10009099,The Urdang Academy,Dance and drama college,Dance and drama colleges,10004846,Full Inspection,2015.10.21,1
10003425,Italia Conti Academy of Theatre Arts,Dance and drama college,Dance and drama colleges,10004847,Full Inspection,2016.01.20,1
10008637,Elmhurst Ballet School,Dance and drama college,Dance and drama colleges,10004849,Full Inspection,2015.11.18,1
10011264,Performers College,Dance and drama college,Dance and drama colleges,10004850,Full Inspection,2015.10.14,1
10012385,SLP College Leeds,Dance and drama college,Dance and drama colleges,10011461,Full Inspection,2016.04.13,1
10010584,Access Training (East Midlands) Ltd,Independent learning provider,Independent learning providers (including employer providers),10123017,Full Inspection,2020.01.21,3
10000105,Apprenticeship Learning Solutions Ltd,Independent learning provider,Independent learning providers (including employer providers),10196235,Full Inspection,2021.08.03,2
10000108,Acorn Training Consultants Limited,Independent learning provider,Independent learning providers (including employer providers),10004853,Full Inspection,2016.01.19,2
10000673,London Skills for Growth Limited,Independent learning provider,Independent learning providers (including employer providers),10038736,Full Inspection,2017.12.12,3
10000976,Buckinghamshire Council,Local authority provider,Adult community education providers,10006631,Full Inspection,2015.11.03,3
10002131,East Sussex County Council,Local authority provider,Adult community education providers,ITS345782,Full Inspection,2010.06.07,4
10002167,Eden Training,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10008920,Enham Trust,Independent learning provider,Independent learning providers (including employer providers),ITS429294,Full Inspection,2014.07.08,3
10026590,Focus Training (SW) Limited,Independent learning provider,Independent learning providers (including employer providers),ITS452974,Full Inspection,2015.03.16,4
10002697,Adult Education In Gloucestershire,Local authority provider,Adult community education providers,ITS429144,Full Inspection,2014.01.27,4
10002704,Gloucestershire Engineering Training Limited,Independent learning provider,Independent learning providers (including employer providers),10020151,Full Inspection,2016.10.04,3
10003039,Hertfordshire County Council,Local authority provider,Adult community education providers,ITS387973,Full Inspection,2012.05.28,4
10009206,Ealing London Borough Council,Local authority provider,Adult community education providers,ITS345785,Full Inspection,2010.05.24,4
10004343,Middlesbrough Council,Local authority provider,Adult community education providers,10008480,Full Inspection,2016.01.26,3
10004376,Milton Keynes Council - Community Learning MK,Local authority provider,Adult community education providers,ITS399143,Full Inspection,2012.11.13,3
10004486,"NACRO",Independent learning provider,Independent learning providers (including employer providers),10078047,Full Inspection,2019.03.04,3
10004733,North Northamptonshire Council,Local authority provider,Adult community education providers,ITS345775,Full Inspection,2010.06.07,4
10010523,Skills for Security Limited,Independent learning provider,Independent learning providers (including employer providers),10008481,Full Inspection,2016.01.26,3
10005735,Seetec Business Technology Centre Limited,Independent learning provider,Independent learning providers (including employer providers),ITS429135,Full Inspection,2014.02.03,4
10006086,Springboard,Independent learning provider,Independent learning providers (including employer providers),10078050,Full Inspection,2019.03.05,3
10007432,West Sussex County Council,Local authority provider,Adult community education providers,10022533,Full Inspection,2017.01.24,3
10000703,Birmingham City Council,Local authority provider,Adult community education providers,10078049,Full Inspection,2019.03.12,3
10001918,Derby City Council,Local authority provider,Adult community education providers,10004866,Full Inspection,2016.01.12,3
10001928,Derbyshire Adult Community Education Service,Local authority provider,Adult community education providers,10123023,Full Inspection,2020.03.03,3
10002054,Dudley Metropolitan Borough Council,Local authority provider,Adult community education providers,ITS385049,Full Inspection,2012.03.05,4
10002064,Durham County Council,Local authority provider,Adult community education providers,ITS434393,Full Inspection,2015.01.19,4
10003025,Herefordshire Council,Local authority provider,Adult community education providers,10004868,Full Inspection,2016.01.18,3
10002910,Harrow London Borough Council,Local authority provider,Adult community education providers,ITS423412,Full Inspection,2013.10.15,3
10004727,North Yorkshire County Council,Local authority provider,Adult community education providers,10090580,Full Inspection,2019.06.04,3
10000239,Pre-School Learning Alliance,Independent learning provider,Independent learning providers (including employer providers),ITS387971,Full Inspection,2012.05.29,3
10006335,Stockport Metropolitan Borough Council,Local authority provider,Adult community education providers,10041159,Full Inspection,2018.03.06,3
10007013,Training Plus (Merseyside) Limited,Independent learning provider,Independent learning providers (including employer providers),ITS366030,Full Inspection,2011.12.05,4
10007528,The Wiltshire Council,Local authority provider,Adult community education providers,10122918,Full Inspection,2020.01.21,2
10007567,Wokingham Council,Local authority provider,Adult community education providers,10011468,Full Inspection,2016.07.05,3
10000020,5 E Ltd.,Independent learning provider,Independent learning providers (including employer providers),ITS424453,Full Inspection,2014.08.04,4
10000028,Woodspeen Training Limited,Independent learning provider,Independent learning providers (including employer providers),10121810,Full Inspection,2019.09.10,3
10000060,Acacia Training and Development Ltd,Independent learning provider,Independent learning providers (including employer providers),10043305,Short inspection Conversion,2018.03.12,11
10000061,Acacia Training Limited,Independent learning provider,Independent learning providers (including employer providers),10004873,Full Inspection,2016.01.19,3
10000248,Academy of Live and Recorded Arts,Dance and drama college,Dance and drama colleges,10078051,Full Inspection,2019.01.21,1
10000080,Access to Music Limited,Independent learning provider,Independent learning providers (including employer providers),10004875,Full Inspection,2016.05.17,3
10009059,Access Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS455577,Full Inspection,2015.06.22,4
10000082,TRN (Train) Ltd.,Independent learning provider,Independent learning providers (including employer providers),ITS410660,Full Inspection,2013.05.13,4
10000099,Achievement Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS366061,Full Inspection,2011.07.04,4
10000137,Adecco UK Ltd,Employer provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10007111,Adult College for Rural East Sussex (ACRES),Independent learning provider,Independent learning providers (including employer providers),ITS429297,Full Inspection,2014.05.13,2
10000201,The Learning Foundry Limited,Independent learning provider,Independent learning providers (including employer providers),10090614,Full Inspection,2019.06.11,3
10000238,Alliance Learning,Independent learning provider,Independent learning providers (including employer providers),ITS408489,Full Inspection,2013.07.01,4
10023918,Anderson Stockley Accredited Training Ltd,Independent learning provider,Independent learning providers (including employer providers),10011469,Full Inspection,2017.01.24,3
10000285,Andrew Collinge Training Limited,Independent learning provider,Independent learning providers (including employer providers),10030789,Full Inspection,2017.06.20,3
10008074,Tring Park School for the Performing Arts,Dance and drama college,Dance and drama colleges,10004879,Full Inspection,2015.11.04,1
10000381,Arts Educational School,Dance and drama college,Dance and drama colleges,10004880,Full Inspection,2015.11.11,1
10000417,Aspect Training Ltd,Independent learning provider,Independent learning providers (including employer providers),10078057,Full Inspection,2019.02.11,2
10000427,Asset Training & Consultancy Limited,Independent learning provider,Independent learning providers (including employer providers),10004881,Full Inspection,2016.02.02,3
10008081,AWE PLC,Employer provider,Independent learning providers (including employer providers),ITS320128,Full Inspection,2008.03.25,3
10000470,Axia Solutions Limited,Independent learning provider,Independent learning providers (including employer providers),ITS375546,Full Inspection,2011.12.06,3
10005781,Azure Charitable Enterprises,Independent learning provider,Independent learning providers (including employer providers),ITS429276,Full Inspection,2014.06.10,2
10000486,B L Training Limited,Independent learning provider,Independent learning providers (including employer providers),ITS455578,Full Inspection,2015.06.15,4
10000488,B-Skill Limited,Independent learning provider,Independent learning providers (including employer providers),10123035,Full Inspection,2020.02.18,3
10000494,Babington Business College Limited,Independent learning provider,Independent learning providers (including employer providers),ITS452977,Full Inspection,2015.03.02,4
10000501,BAE Systems PLC,Employer provider,Independent learning providers (including employer providers),ITS345916,Full Inspection,2010.06.14,4
10000532,"Barnardo's Employment, Training and Skills",Independent learning provider,Independent learning providers (including employer providers),10078058,Full Inspection,2019.07.16,3
10000538,Barnsley Metropolitan Borough Council,Local authority provider,Adult community education providers,10054539,Full Inspection,2018.11.13,3
10000561,Basingstoke ITEC,Independent learning provider,Independent learning providers (including employer providers),ITS404581,Full Inspection,2012.11.13,3
10024291,Bedford Borough Council,Local authority provider,Adult community education providers,NULL,NULL,NA,NA
10000688,Biffa Waste Services Limited,Employer provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10002011,Doreen Bird College of Performing Arts Ltd.,Dance and drama college,Dance and drama colleges,10004883,Full Inspection,2015.12.02,1
10000715,Birmingham Electrical Training Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS446037,Full Inspection,2015.06.23,3
