inspection_id,inspection_category,score,score_description
10004842,Is safeguarding effective,1,Yes
10004842,Overall effectiveness,2,Good
10004842,Leadership and management,2,Good
10078030,Is safeguarding effective,1,Yes
10078030,Overall effectiveness,1,Outstanding
10078030,Leadership and management,1,Outstanding
10004844,Is safeguarding effective,1,Yes
10004844,Overall effectiveness,1,Outstanding
10004844,Leadership and management,1,Outstanding
10004846,Is safeguarding effective,1,Yes
10004846,Overall effectiveness,1,Outstanding
10004846,Leadership and management,1,Outstanding
10004847,Is safeguarding effective,1,Yes
10004847,Overall effectiveness,1,Outstanding
10004847,Leadership and management,1,Outstanding
10004849,Is safeguarding effective,1,Yes
10004849,Overall effectiveness,1,Outstanding
10004849,Leadership and management,1,Outstanding
10004850,Is safeguarding effective,1,Yes
10004850,Overall effectiveness,1,Outstanding
10004850,Leadership and management,1,Outstanding
10011461,Is safeguarding effective,1,Yes
10011461,Overall effectiveness,1,Outstanding
10011461,Leadership and management,1,Outstanding
10123017,Is safeguarding effective,1,Yes
10123017,Overall effectiveness,2,Good
10123017,Quality of education,2,Good
10123017,Behaviour and attitudes,2,Good
10123017,Personal development,2,Good
10123017,Leadership and management,2,Good
10123017,Apprenticeships,2,Good
10196235,Is safeguarding effective,1,Yes
10196235,Overall effectiveness,2,Good
10196235,Quality of education,2,Good
10196235,Behaviour and attitudes,2,Good
10196235,Personal development,3,Requires improvement
10196235,Leadership and management,2,Good
10196235,Apprenticeships,2,Good
10004853,Is safeguarding effective,1,Yes
10004853,Overall effectiveness,2,Good
10004853,Leadership and management,2,Good
10038736,Is safeguarding effective,1,Yes
10038736,Overall effectiveness,2,Good
10038736,Leadership and management,2,Good
10038736,Apprenticeships,2,Good
10006631,Is safeguarding effective,1,Yes
10006631,Overall effectiveness,2,Good
10006631,Leadership and management,2,Good
10006631,Apprenticeships,2,Good
ITS345782,Overall effectiveness,2,Good
ITS345782,Leadership and management,2,Good
ITS429294,Overall effectiveness,2,Good
ITS429294,Leadership and management,2,Good
ITS452974,Overall effectiveness,2,Good
ITS452974,Leadership and management,2,Good
ITS452974,Apprenticeships,2,Good
ITS429144,Overall effectiveness,2,Good
ITS429144,Leadership and management,2,Good
10020151,Is safeguarding effective,1,Yes
10020151,Overall effectiveness,2,Good
10020151,Leadership and management,2,Good
10020151,Apprenticeships,2,Good
ITS387973,Overall effectiveness,2,Good
ITS387973,Leadership and management,2,Good
ITS345785,Overall effectiveness,2,Good
ITS345785,Leadership and management,2,Good
10008480,Is safeguarding effective,1,Yes
10008480,Overall effectiveness,2,Good
10008480,Leadership and management,1,Outstanding
ITS399143,Overall effectiveness,2,Good
ITS399143,Leadership and management,2,Good
10078047,Is safeguarding effective,1,Yes
10078047,Overall effectiveness,2,Good
10078047,Leadership and management,2,Good
10078047,Apprenticeships,2,Good
ITS345775,Overall effectiveness,2,Good
ITS345775,Leadership and management,2,Good
10008481,Is safeguarding effective,1,Yes
10008481,Overall effectiveness,2,Good
10008481,Leadership and management,2,Good
10008481,Apprenticeships,2,Good
ITS429135,Overall effectiveness,2,Good
ITS429135,Leadership and management,2,Good
ITS429135,Apprenticeships,3,Requires improvement
10078050,Is safeguarding effective,1,Yes
10078050,Overall effectiveness,3,Requires improvement
10078050,Leadership and management,3,Requires improvement
10078050,Apprenticeships,2,Good
10022533,Is safeguarding effective,1,Yes
10022533,Overall effectiveness,2,Good
10022533,Leadership and management,2,Good
10078049,Is safeguarding effective,1,Yes
10078049,Overall effectiveness,2,Good
10078049,Leadership and management,2,Good
10004866,Is safeguarding effective,1,Yes
10004866,Overall effectiveness,2,Good
10004866,Leadership and management,2,Good
10004866,Apprenticeships,2,Good
10123023,Is safeguarding effective,1,Yes
10123023,Overall effectiveness,3,Requires improvement
10123023,Quality of education,2,Good
10123023,Behaviour and attitudes,2,Good
10123023,Personal development,3,Requires improvement
10123023,Leadership and management,3,Requires improvement
10123023,Apprenticeships,2,Good
ITS385049,Overall effectiveness,2,Good
