std_fwk_flag,std_fwk_name,std_fwk_code,st_code,apps_level_6p,apps_level,apps_level_detailed,ssa_t1_code,ssa_t1_desc,ssa_t2_code,ssa_t2_desc,stem,route,apps_degree
Standard,HR Consultant Partner,190,ST0238,0,Higher Apprenticeship,5,15,"Business, Administration and Law",15.2,Administration,STEM - no,Business and Administration,No
Standard,Data Analyst,80,ST0118,0,Higher Apprenticeship,4,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Adult Care Worker,119,ST0005,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Care Services,No
Standard,Chartered Manager (Degree),55,ST0272,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,Yes
Standard,Fenestration Installer,513,ST0743,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Procurement and Supply Assistant,590,ST0810,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Sales, Marketing and Procurement",No
Standard,Floorlayer,372,ST0504,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Associate Project Manager,128,ST0310,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,No
Standard,Junior Content Producer,174,ST0105,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.3,Media and Communication,STEM - no,Creative and Design,No
Standard,Installation Electrician and Maintenance Electrician,5,ST0152,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Construction,No
Standard,Teaching Assistant,297,ST0454,0,Advanced Apprenticeship,3,13,Education and Training,13.2,Direct Learning Support,STEM - no,Education and Childcare,No
Standard,Assistant Accountant,133,ST0002,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Team Leader or Supervisor,105,ST0384,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,No
